course_id,course_name,professor_name
CSE333,HCI,Jaeyeon Lee
CSE345,Intro to Algorithm,Seulki Lee
SLA46101,Philosophy of Science,Seungbae Park
CSE402,Natural Language Processing,Taehwan Kim
CSE468,Information Visualization,Sungahn Ko
,,
,,
,,
